label,pca_x,pca_y,tsne_x,tsne_y
0,-19.35146713,10.45891476,-15.98912525,-27.31188393
0,-70.59155273,-14.13371563,-19.16383553,19.43157768
0,-28.47867012,-15.52713203,-1.41011870,0.56255758
0,-23.49036980,-19.53602219,4.66677332,5.15898418
0,-22.07805824,-20.22784615,-1.00448227,0.93497062
1,93.88028717,-30.23680878,-1.23350680,32.03037643
1,68.10158539,-24.35887909,23.69762230,-21.65404892
1,71.29049683,-19.61735535,23.51597977,-20.41627312
1,34.21974182,-11.14300919,-16.17350006,-31.27511215
0,-63.30304718,43.68268204,-14.01573849,17.25248909
0,-6.94670916,63.35953522,-3.48533416,-18.76474953
0,-6.15775681,57.20776749,-3.46124768,-19.08035088
0,-5.46257019,57.20211792,-3.25189614,-19.64014244
1,30.67481613,-62.18666840,-13.39925194,31.79095650
1,106.40328217,-79.76585388,27.63166809,9.89848137
1,110.69265747,-79.89934540,28.92916679,9.88428307
1,111.85333252,-79.29920197,28.87632370,10.00743866
0,-108.67810822,-0.06640979,-22.53468323,10.28064537
0,-105.87007904,0.22001782,-23.32097244,2.74971962
0,-113.34679413,3.64877510,-24.26369286,3.05721259
0,-112.67437744,5.13899326,-22.47615623,4.34928894
1,108.88574219,-79.12388611,-6.10002041,33.31506729
1,91.87660980,-69.21583557,24.81200027,9.23262501
1,41.05281830,-52.88051605,18.24225426,-17.47168541
1,40.54252625,-50.48746490,17.67816734,-12.15736198
1,27.98145103,-73.58210754,-14.12946987,31.35916901
1,115.49533081,-80.27164459,29.67660332,9.69333839
1,124.50556183,-80.09120941,31.58445358,10.53197765
1,126.67926025,-79.14476013,31.76444435,10.53227711
0,40.35732651,76.00202942,-3.66486907,16.96096230
0,88.07778931,92.05188751,0.12391148,-22.99576378
0,69.84075928,103.63300323,-3.46774697,-24.11688614
0,20.90533638,89.11126709,-9.39377975,-24.52939987
1,10.36368275,-73.62529755,-8.72609806,27.42334557
1,10.09897804,-48.67226410,19.11294746,-13.69217777
1,4.73877907,-32.88250351,15.07142353,-13.93817806
1,5.09514189,-30.66478729,19.05807114,-13.85906601
0,-94.20773315,-0.42661673,-21.00762749,16.93339539
0,-57.95106506,5.46733379,-7.58440161,-0.79028279
0,-54.75870132,2.70133519,-7.82331324,0.32349512
0,-52.40270996,1.86917663,-2.89974785,-0.64336038
1,3.90539479,-98.48371887,-10.52896690,29.91408730
1,52.68924713,-106.88901520,23.09565163,11.99391460
1,38.19747925,-97.78832245,21.69045258,2.78095770
1,0.64689893,-83.87934875,21.96596527,-1.07759392
1,38.23321152,-34.57042694,-10.82444572,32.08584213
1,113.60291290,-43.36907196,26.34454536,6.04854918
1,109.53652954,-36.76484299,27.52547264,1.90680981
1,70.39810181,-26.07391167,26.42370796,-1.69407010
0,-97.20209503,25.50035858,-19.20139885,14.98333931
0,-35.26077652,54.22836304,-5.68412638,-13.91701889
0,-29.50030136,46.73002625,-3.05475140,-13.94466496
0,-29.53569984,45.44250107,-1.24323046,-12.69025421
0,-94.29739380,44.06227112,-15.31488419,-4.26268387
0,-81.87762451,50.68105698,-12.66732216,-7.87322664
0,-80.18693542,49.96891022,-14.62182426,-4.62216520
0,-78.65841675,49.77896881,-12.25459194,-7.66641521
0,2.13479853,-71.44083405,-13.39109993,28.56432533
0,41.24635315,-80.35350800,18.45523834,8.80437851
0,13.93116283,-73.88706207,19.80856133,0.66999364
0,-20.17088127,-66.72917175,20.22877312,-2.48329139
0,-119.78226471,-27.10779190,-24.08534813,16.76219368
0,-43.51229095,-20.02917480,3.81151938,5.16309023
